ID,Opened,Closed,Fixed version,Created version,,Days to fix,Open issues at closing,ClosedTimestamp,AllLabels
981,2010-01-19,2010-01-20,2_13_12,2.12.2,"Existing regtest, change happened long before report",2,13,1264025531,"Type-Defect, Priority-Critical, fixed_2_13_12"
987,2010-01-20,2010-01-20,2_13_12,? Not regression,,1,14,1264019567,"Type-Defect, Priority-Critical, fixed_2_13_12"
1031,2010-03-04,2010-06-19,2_13_25,Not known,,16,10,constantly-changing input/regression/rest-collision-beam-note.ly,"Type-Defect, Priority-Critical, Regression, Patch, fixed_2_13_25"
1031,2010-03-04,2010-06-19,2_13_25,,,16,11,constantly-changing input/regression/rest-collision-beam-note.ly,"Type-Defect, Priority-Critical, Regression, Patch, fixed_2_13_25"
1042,2010-03-19,2010-03-22,#VALUE!,,,4,12,Broken regtest: spanner-break-overshoot.ly,"Type-Defect, Priority-Critical, Regression"
1045,2010-03-24,2010-03-24,2_13_17,2.13.16,,1,12,Regression: dead-notes.ly: too much dead notes on tab staff,"Regression, Type-Defect, Priority-Critical, fixed_2_13_17"
1045,2010-03-24,2010-03-24,2_13_17,,,1,13,Regression: dead-notes.ly: too much dead notes on tab staff,"Regression, Type-Defect, Priority-Critical, fixed_2_13_17"
1062,2010-04-22,2010-08-09,2_13_27,Not known,,18,9,"Pure-height of a system only takes staves into account, but not other objects","Type-Defect, Regression, Priority-Critical, fixed_2_13_27"
1062,2010-04-22,2010-08-09,2_13_27,,,18,10,"Pure-height of a system only takes staves into account, but not other objects","Type-Defect, Regression, Priority-Critical, fixed_2_13_27"
1075,2010-05-06,2010-05-06,2_13_21,2.13.20,All regtests with flags,1,10,Regression: flag glyphs have changed shape,"Type-Defect, Priority-Critical, Regression, fixed_2_13_21"
1075,2010-05-06,2010-05-06,2_13_21,,,1,11,Regression: flag glyphs have changed shape,"Type-Defect, Priority-Critical, Regression, fixed_2_13_21"
1080,2010-05-10,2010-05-16,2_13_22,2.13.17,,7,10,Regression: bar lines in double bar are positioned too close together,"Type-Defect, Priority-Critical, Regression, fixed_2_13_22"
1080,2010-05-10,2010-05-16,2_13_22,,,7,11,Regression: bar lines in double bar are positioned too close together,"Type-Defect, Priority-Critical, Regression, fixed_2_13_22"
1083,2010-05-10,2010-07-18,2_13_29,between 2.10 and 2.12,,9,12,subdivideBeams fails at the beginning of a pattern,"Type-Defect, Priority-Critical, Regression, fixed_2_13_29"
1083,2010-05-10,2010-07-18,2_13_29,,,9,13,subdivideBeams fails at the beginning of a pattern,"Type-Defect, Priority-Critical, Regression, fixed_2_13_29"
1084,2010-05-10,2010-08-13,2_13_30,,,4,14,lilypond-book fails on identical snippets,"Type-Scripts, Priority-Critical, Regression, fixed_2_13_30"
1088,2010-05-15,2010-06-17,2_13_25,2.10.33,,3,15,Accidentals for single notes may collide with augmentation dots,"Type-Collision, Priority-Critical, Regression, fixed_2_13_25"
1088,2010-05-15,2010-06-17,2_13_25,,,3,16,Accidentals for single notes may collide with augmentation dots,"Type-Collision, Priority-Critical, Regression, fixed_2_13_25"
1103,2010-05-27,2010-05-30,2_13_23,,,4,15,Typo in engraver name while defining new contexts causes lilypond to segfault,"Priority-Critical, Type-Defect, Regression, fixed_2_13_23"
1120,2010-06-16,2010-06-18,2_13_25,After 2.12.3,,3,14,Melismata disturb note head distances,"Type-Defect, Priority-Critical, Regression, fixed_2_13_25"
1120,2010-06-16,2010-06-18,2_13_25,,,3,15,Melismata disturb note head distances,"Type-Defect, Priority-Critical, Regression, fixed_2_13_25"
1123,2010-06-18,2010-06-27,2_13_26,,,10,13,16th and shorter notes (not beamed) have ugly defects,"Type-Build, Regression, Priority-Critical, fixed_2_13_26"
1141,2010-06-22,2010-06-22,2_13_26,2.13.25,Included page break,1,10,"\pageBreak ""disables"" system-count","Type-Defect, Priority-Critical, Regression, fixed_2_13_26"
1141,2010-06-22,2010-06-22,2_13_26,,,1,11,"\pageBreak ""disables"" system-count","Type-Defect, Priority-Critical, Regression, fixed_2_13_26"
1142,2010-06-22,2010-06-22,2_13_26,2.13.25,,1,12,\pageBreak + system-count + lyrics : programming error: bounds of this piece aren't breakable.,"Type-Defect, Priority-Critical, Regression, fixed_2_13_26"
1142,2010-06-22,2010-06-22,2_13_26,,,1,13,\pageBreak + system-count + lyrics : programming error: bounds of this piece aren't breakable.,"Type-Defect, Priority-Critical, Regression, fixed_2_13_26"
1152,2010-06-25,2010-08-07,2_13_29,2.13.25,"Older bug, actually",12,10,Regression: collisions with accidentals,"Type-Collision, Priority-Critical, Regression, fixed_2_13_29"
1152,2010-06-25,2010-08-07,2_13_29,,,12,11,Regression: collisions with accidentals,"Type-Collision, Priority-Critical, Regression, fixed_2_13_29"
1153,2010-06-25,2010-06-26,2_13_27,2.13.25?,,1,12,Regression test broken: measure-grouping.ly,"Type-Defect, Priority-Critical, Regression, fixed_2_13_27"
1153,2010-06-25,2010-06-26,2_13_27,,,1,13,Regression test broken: measure-grouping.ly,"Type-Defect, Priority-Critical, Regression, fixed_2_13_27"
1156,2010-06-26,2010-06-27,2_13_27,2.11.9,"No regtest, but part of the documentation.  Regtest should be (and may not have been) added",2,14,Continuing slur across line containing only spacer rests leads to allocation error,"Type-Defect, Priority-Critical, Regression, fixed_2_13_27"
1156,2010-06-26,2010-06-27,2_13_27,,,2,15,Continuing slur across line containing only spacer rests leads to allocation error,"Type-Defect, Priority-Critical, Regression, fixed_2_13_27"
1198,2010-08-01,2010-08-13,2_13_31,2.13.29,,13,8,Display method for \time broken,"Type-Defect, Priority-Critical, Regression, Patch, fixed_2_13_31"
1198,2010-08-01,2010-08-13,2_13_31,,,13,9,Display method for \time broken,"Type-Defect, Priority-Critical, Regression, Patch, fixed_2_13_31"
1209,2010-08-11,2010-08-12,#VALUE!,,,2,6,"beatLength is no longer used, but still appears in regression tests converted from xml","Type-Defect, Priority-Critical, Regression"
1218,2010-08-14,2010-08-20,2_13_31,Unsure,,6,3,Text description of hara-kiri-pianostaff.ly now in error,"Type-Defect, Priority-Critical, Regression, fixed_2_13_31"
1218,2010-08-14,2010-08-20,2_13_31,,,6,4,Text description of hara-kiri-pianostaff.ly now in error,"Type-Defect, Priority-Critical, Regression, fixed_2_13_31"
1220,2010-08-14,2010-08-20,2_13_31,2.13.19,Existing regtest,6,5,input/regression/page-turn-page-breaking-auto-first-page2.ly broken,"Type-Defect, Priority-Critical, Regression, fixed_2_13_31"
1220,2010-08-14,2010-08-20,2_13_31,,,6,6,input/regression/page-turn-page-breaking-auto-first-page2.ly broken,"Type-Defect, Priority-Critical, Regression, fixed_2_13_31"
1226,2010-08-18,2010-08-23,2_13_33,,,5,7,lilypond-book in the MinGW release is currently unusable (2.13.30?),"Type-Scripts, Priority-Critical, Regression, fixed_2_13_33"
1231,2010-08-23,2010-09-20,2_13_34,2.13.29,Regtest altered to catch,29,4,New clefs collide with compressed multimeasure rests,"Type-Collision, Priority-Critical, Regression, fixed_2_13_34"
1231,2010-08-23,2010-09-20,2_13_34,,,29,5,New clefs collide with compressed multimeasure rests,"Type-Collision, Priority-Critical, Regression, fixed_2_13_34"
1232,2010-08-24,2010-09-12,2_13_32,Somewhere in 2.13,,20,5,Misplaced tremolo in tablatures,"Type-Defect, Priority-Critical, Regression, fixed_2_13_32"
1232,2010-08-24,2010-09-12,2_13_32,,,20,6,Misplaced tremolo in tablatures,"Type-Defect, Priority-Critical, Regression, fixed_2_13_32"
1242,2010-08-26,2010-08-28,2_13_32,2.13.31,Caught by Phil checking regtests,2,7,Regtest resgression - page-spacing-tall-headfoot.ly,"Type-Defect, Priority-Critical, Regression, fixed_2_13_32"
1242,2010-08-26,2010-08-28,2_13_32,,,2,8,Regtest resgression - page-spacing-tall-headfoot.ly,"Type-Defect, Priority-Critical, Regression, fixed_2_13_32"
1243,2010-08-26,2010-09-04,#VALUE!,,,10,9,Regtest resgression - tie-direction-manual.ly,"Type-Defect, Priority-Critical, Regression"
1251,2010-09-06,2010-09-06,2_13_33,2.13.32,,1,7,StaffGroup with pauses and tempo indication causes segfault,"Type-Defect, Priority-Critical, Regression, fixed_2_13_33"
1251,2010-09-06,2010-09-06,2_13_33,,,1,8,StaffGroup with pauses and tempo indication causes segfault,"Type-Defect, Priority-Critical, Regression, fixed_2_13_33"
1252,2010-09-06,2010-12-03,2_13_41,after 2.12.3,,29,9,"Music overflows page (one staff per system, default spacing settings, some marks)","Type-Defect, Priority-Critical, Regression, fixed_2_13_41"
1252,2010-09-06,2010-12-03,2_13_41,,,29,10,"Music overflows page (one staff per system, default spacing settings, some marks)","Type-Defect, Priority-Critical, Regression, fixed_2_13_41"
1258,2010-09-10,2010-09-12,2_13_34,2.13.28,,3,9,"Chord repetition with ""q"" gives error when used in tremolo","Type-Defect, Priority-Critical, Regression, fixed_2_13_34"
1258,2010-09-10,2010-09-12,2_13_34,,,3,10,"Chord repetition with ""q"" gives error when used in tremolo","Type-Defect, Priority-Critical, Regression, fixed_2_13_34"
1260,2010-09-10,2010-09-10,#VALUE!,,,1,11,Crash with \tempo,"Type-Defect, Priority-Critical, Regression"
1284,2010-09-30,2010-10-01,2_13_36,2.13.34,,2,4,\revertTimeSignatureSettings does not revert all settings,"Type-Defect, Priority-Critical, Regression, fixed_2_13_36"
1284,2010-09-30,2010-10-01,2_13_36,,,2,5,\revertTimeSignatureSettings does not revert all settings,"Type-Defect, Priority-Critical, Regression, fixed_2_13_36"
1285,2010-09-30,2010-10-26,2_13_38,2.13.35,,26,6,Erratic spacing between staves,"Type-Defect, Priority-Critical, Regression, fixed_2_13_38"
1285,2010-09-30,2010-10-26,2_13_38,,,26,7,Erratic spacing between staves,"Type-Defect, Priority-Critical, Regression, fixed_2_13_38"
1294,2010-10-05,2011-02-12,2_13_50,2.13.33,,10,6,Version 2.13.35 does not properly represent lyric tie,"Type-Defect, Priority-Critical, Regression, fixed_2_13_50"
1294,2010-10-05,2011-02-12,2_13_50,,,10,7,Version 2.13.35 does not properly represent lyric tie,"Type-Defect, Priority-Critical, Regression, fixed_2_13_50"
1385,2010-11-04,2010-11-18,2_13_40,2.13.38,,14,6,Line indents confuse vertical spacing,"Type-Defect, Priority-Critical, Regression, fixed_2_13_40"
1385,2010-11-04,2010-11-18,2_13_40,,,14,7,Line indents confuse vertical spacing,"Type-Defect, Priority-Critical, Regression, fixed_2_13_40"
1438,2010-12-07,2010-12-29,#VALUE!,,,22,4,Change to figured-bass-extenders-markup.ly regtest,"Type-Defect, Priority-Critical, Regression"
1464,2010-12-28,2011-01-08,2_13_46,2.13.33,,11,5,Segfault with multimeasure rests and metronome markings,"Type-Defect, Priority-Critical, Regression, fixed_2_13_46"
1464,2010-12-28,2011-01-08,2_13_46,,,11,6,Segfault with multimeasure rests and metronome markings,"Type-Defect, Priority-Critical, Regression, fixed_2_13_46"
1465,2010-12-29,2011-01-02,2_13_45,After 2.12.3,,4,7,\pageBreak breaks \page-ref,"Type-Defect, Priority-Critical, Regression, fixed_2_13_45"
1465,2010-12-29,2011-01-02,2_13_45,,,4,8,\pageBreak breaks \page-ref,"Type-Defect, Priority-Critical, Regression, fixed_2_13_45"
1472,2011-01-13,2011-02-01,2_13_48,After 2.12.3,"This was a very difficult bug to fix, with lots of tries and dead ends",20,3,Collision between MMR and key signature,"Type-Collision, Priority-Critical, Regression, fixed_2_13_48"
1472,2011-01-13,2011-02-01,2_13_48,,,20,4,Collision between MMR and key signature,"Type-Collision, Priority-Critical, Regression, fixed_2_13_48"
1474,2011-01-14,2011-02-05,2_13_48,After 2.12.3,Connected with 1474 and 1120,22,5,Horizontal spacing regression,"Type-Defect, Priority-Critical, Regression, fixed_2_13_48"
1474,2011-01-14,2011-02-05,2_13_48,,,22,6,Horizontal spacing regression,"Type-Defect, Priority-Critical, Regression, fixed_2_13_48"
1475,2011-01-14,2011-01-24,2_13_47,2.13.3x?,,10,7,crash with many markups between scores,"Type-Defect, Priority-Critical, Regression, fixed_2_13_47"
1475,2011-01-14,2011-01-24,2_13_47,,,10,8,crash with many markups between scores,"Type-Defect, Priority-Critical, Regression, fixed_2_13_47"
1483,2011-01-20,2011-01-26,2_13_47,After 2.12.3,,6,9,Lyric alignment is wrong in 2.13.46,"Type-Defect, Priority-Critical, Regression, fixed_2_13_47"
1483,2011-01-20,2011-01-26,2_13_47,,,6,10,Lyric alignment is wrong in 2.13.46,"Type-Defect, Priority-Critical, Regression, fixed_2_13_47"
1486,2011-01-21,2011-01-25,2_13_47,2.13.46,,4,11,Lyrics above the first staff in a system are spaced too closely for the first system,"Type-Defect, Priority-Critical, Regression, fixed_2_13_47"
1486,2011-01-21,2011-01-25,2_13_47,,,4,12,Lyrics above the first staff in a system are spaced too closely for the first system,"Type-Defect, Priority-Critical, Regression, fixed_2_13_47"
